"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"Iron River Area","Halfway Rd","HFWY04","Unnamed off Halfway Rd","Unnamed off Halfway Rd","Gravel","Public",NA,"HFWY03, HFWY05",2023-04-06 09:58:04.309679,2024-03-05 17:09:22.220774,"EXISTING"
"Iron River Area","Halfway Rd","HFWY05","Unnamed off Halfway Rd","Webster Rd","Gravel","Public",NA,"HFWY04, HFWY06",2023-04-06 09:58:12.394299,2024-03-05 17:09:22.233765,"EXISTING"
"Iron River Area","Halfway Rd","HFWY06","Webster Rd","Unnamed off Halfway Rd","Gravel","Public",NA,"HFWY05, HFWY07",2023-04-06 09:58:20.075798,2024-03-05 17:09:22.270729,"EXISTING"
"Iron River Area","Halfway Rd","HFWY07","Unnamed off Halfway Rd","Unnamed off Halfway Rd","Gravel","Public",NA,"HFWY06, HFWY08",2023-04-06 09:58:43.579588,2024-03-05 17:09:22.389675,"EXISTING"
"Iron River Area","Halfway Rd","HFWY08","Unnamed off Halfway Rd","N Church Rd","Gravel","Public",NA,"HFWY07, HFWY09, NCHU09, NCHU10",2023-04-06 09:58:27.628689,2024-03-05 17:09:22.404654,"EXISTING"
"Iron River Area","Halfway Rd","HFWY09","N Church Rd","Unnamed off Moore Rd","Gravel","Public",NA,"HFWY08, NCHU09, NCHU10, HFWY10, TRMR14, TRMR15",2024-02-03 17:42:31.731792,2024-03-05 17:09:22.422642,"EXISTING"
"Iron River Area","Halfway Rd","HFWY10","Unnamed off Moore Rd","Unnamed off Halfway Rd","Gravel","Public",NA,"HFWY09, TRMR14, TRMR15, HFWY10a",2024-02-02 22:22:42.03619,2024-03-05 17:09:22.435633,"EXISTING"
"Iron River Area","Halfway Rd","HFWY10a","Unnamed off Halfway Rd","Unnamed off Halfway Rd","Gravel","Public",NA,"HFWY10, HFWY10b, TRHF81",2024-02-02 22:23:17.829679,2024-03-05 17:09:22.445629,"EXISTING"
"Iron River Area","Halfway Rd","HFWY10b","Unnamed off Halfway Rd","Unnamed off Halfway Rd","Gravel","Public",NA,"HFWY10a, TRHF81, HFWY10c",2024-02-02 22:23:17.534037,2024-03-05 17:09:22.54957,"EXISTING"
"Iron River Area","Halfway Rd","HFWY10c","Unnamed off Halfway Rd","Unnamed off Halfway Rd","Gravel","Public",NA,"HFWY10b, HFWY10d, TRHF85",2024-02-02 22:23:17.497288,2024-03-05 17:09:22.56156,"EXISTING"
"Iron River Area","Halfway Rd","HFWY10d","Unnamed off Halfway Rd","Moore Rd","Gravel","Public",NA,"HFWY10c, TRHF85, HFWY11, MORE04, MORE05",2024-02-02 22:23:17.019415,2024-03-05 17:09:22.574554,"EXISTING"
"Iron River Area","Halfway Rd","HFWY11","Moore Rd","ATV/Snow Trail 17","Gravel","Public",NA,"HFWY10d, MORE04, MORE05, HFWY12",2024-01-28 11:16:57.972242,2024-03-05 17:09:22.585548,"EXISTING"
"Iron River Area","Halfway Rd","HFWY12","ATV/Snow Trail 17","Unnamed off Halfway Rd","Gravel","Public",NA,"HFWY11, HFWY12a, TRHF88",2024-02-23 10:29:57.75802,2024-03-05 17:09:22.59856,"EXISTING"
"Iron River Area","Halfway Rd","HFWY12a","Unnamed off Halfway Rd","Unnamed off Moore Rd","Gravel","Public",NA,"HFWY12, TRHF88, HFWY13, TRMR05, TRMR06",2024-02-23 10:30:16.003418,2024-03-05 17:09:22.611532,"EXISTING"
"Iron River Area","Halfway Rd","HFWY13","Unnamed off Moore Rd","Huffgard Rd","Gravel","Public",NA,"HFWY12a, TRMR05, TRMR06, HFWY14, HGRD16, HGRD17",2024-01-28 11:16:51.933212,2024-03-05 17:09:22.627523,"EXISTING"
"Iron River Area","Halfway Rd","HFWY14","Huffgard Rd","Unnamed off Halfway Rd","Gravel","Public",NA,"HFWY13, HGRD16, HGRD17, HFWY15, TRHF91, TRHF92",2024-01-28 11:16:48.706347,2024-03-05 17:09:22.640514,"EXISTING"
"Iron River Area","Halfway Rd","HFWY15","Unnamed off Halfway Rd","County Line Rd","Gravel","Public",NA,"HFWY14, TRHF91, TRHF92, BDCL24, BDCL25",2024-01-28 11:16:45.221382,2024-03-05 17:09:22.659504,"EXISTING"
"Iron River Area","Huffgard Rd","HGRD01","Banana Belt Rd / Stephans Rd","Unnamed from Moreland Lake Rd to Huffgard Lake Rd","Gravel","Public",NA,"BBLT20, BBLT21, HGRD02, TRML05",2023-07-28 08:47:28.963192,2024-03-05 17:09:22.797426,"EXISTING"
"Iron River Area","Huffgard Rd","HGRD02","Unnamed from Moreland Lake Rd to Huffgard Lake Rd","Carter Rd","Gravel","Public",NA,"HGRD01, TRML05, HGRD03, CRTR03",2023-07-28 08:46:08.286514,2024-03-05 17:09:22.811419,"EXISTING"
"Iron River Area","Huffgard Rd","HGRD03","Carter Rd","Deadend","Gravel","Public",NA,"HGRD02, CRTR03, HGRD05, DEAD101",2023-07-29 08:46:25.380169,2024-03-05 17:09:22.831406,"EXISTING"
"Iron River Area","Huffgard Rd","HGRD05","Unnamed off Huffgard Rd","Unnamed off Huffgard Rd","Gravel","Public",NA,"HGRD03, DEAD101, HGRD06",2023-07-22 19:36:14.459911,2024-03-05 17:09:22.8444,"EXISTING"
"Iron River Area","Huffgard Rd","HGRD06","Unnamed off Huffgard Rd","Rush Lake Rd","Gravel","Public",NA,"HGRD05, HGRD07, RUSH03",2023-07-22 19:36:01.056042,2024-03-05 17:09:22.866386,"EXISTING"
"Iron River Area","Huffgard Rd","HGRD07","Rush Lake Rd","Unnamed off Huffgard Rd","Gravel","Public",NA,"HGRD06, RUSH03, HGRD08, DEAD100",2023-07-22 19:36:20.763321,2024-03-05 17:09:22.986317,"EXISTING"
"Iron River Area","Huffgard Rd","HGRD08","Unnamed off Huffgard Rd","Unnamed off Huffgard Rd","Gravel","Public",NA,"HGRD07, DEAD100, HGRD09",2023-07-22 19:36:27.665609,2024-03-05 17:09:23.001307,"EXISTING"
"Iron River Area","Huffgard Rd","HGRD09","Unnamed off Huffgard Rd","Unnamed off Huffgard Rd","Gravel","Public",NA,"HGRD08, HGRD10",2023-07-22 19:36:34.125332,2024-03-05 17:09:23.0203,"EXISTING"
"Iron River Area","Huffgard Rd","HGRD10","Unnamed off Huffgard Rd","ATV/Snow Trail 18","Gravel","Public",NA,"HGRD09, HGRD11",2023-07-22 19:36:40.652824,2024-03-05 17:09:23.034304,"EXISTING"
"Iron River Area","Huffgard Rd","HGRD11","ATV/Snow Trail 18","Unnamed off Huffgard Rd","Gravel","Public",NA,"HGRD10, HGRD12",2023-07-22 19:36:46.708321,2024-03-05 17:09:23.050295,"EXISTING"
"Iron River Area","Huffgard Rd","HGRD12","Unnamed off Huffgard Rd","Unnamed off Huffgard Rd","Gravel","Public",NA,"HGRD11, HGRD13, TRHG01",2024-02-23 10:26:34.944019,2024-03-05 17:09:23.064274,"EXISTING"
"Iron River Area","Huffgard Rd","HGRD13","Unnamed off Huffgard Rd","Hughes Town Line Rd","Gravel","Public",NA,"HGRD12, TRHG01, HGRD14, HUTL08, HUTL09",2023-07-22 19:37:00.908695,2024-03-05 17:09:23.190201,"EXISTING"
"Iron River Area","Huffgard Rd","HGRD14","Hughes Town Line Rd","Unnamed from County Line Rd to Huffgard Rd","Gravel","Public",NA,"HGRD13, HUTL08, HUTL09, HGRD15, TRCL14",2024-02-07 21:40:07.980131,2024-03-05 17:09:23.211191,"EXISTING"
"Iron River Area","Huffgard Rd","HGRD15","Unnamed from County Line Rd to Huffgard Rd","Unnamed from Moore Rd to Huffgard Rd","Gravel","Public",NA,"HGRD14, TRCL14, HGRD16, TRCL05, TRMR23",2024-02-07 21:40:17.390781,2024-03-05 17:09:23.229177,"EXISTING"
"Iron River Area","Huffgard Rd","HGRD16","Unnamed from Moore Rd to Huffgard Rd","Halfway Rd","Gravel","Public",NA,"HGRD15, TRCL05, TRMR23, HGRD17",2024-02-07 21:43:19.309437,2024-03-05 17:09:23.24217,"EXISTING"
"Iron River Area","Huffgard Rd","HGRD17","Halfway Rd",NA,"Gravel","Public",NA,"HGRD16, HGRD18",2024-02-07 21:43:18.96645,2024-03-05 17:09:23.261158,"EXISTING"
"Iron River Area","Huffgard Rd","HGRD18",NA,NA,"Gravel","Public",NA,"HGRD17, HGRD19",2024-02-07 21:43:18.926891,2024-03-05 17:09:23.387087,"EXISTING"
"Iron River Area","Huffgard Rd","HGRD19",NA,"W Church Rd","Gravel","Public",NA,"HGRD18, WCHU11, WCHU12",2024-02-07 21:43:18.282135,2024-03-05 17:09:23.401079,"EXISTING"
"Iron River Area","Hillside Ln","HLSD01","Hart Lake Rd","end of Hillside Ln","Paved","Public",NA,"HART04, HART05, NA",2023-01-16 21:39:55.021221,2024-03-05 17:09:23.41507,"EXISTING"
"Iron River Area","Holvenstot Rd","HLVS01","Silbersack / Lavin Rd","Tripp Gravel Pit Rd","Gravel","Public",NA,"SLBR14, SLBR15, HLVS02, TRGP02",2023-04-24 17:46:15.179655,2024-03-05 17:09:23.435057,"EXISTING"
"Iron River Area","Holvenstot Rd","HLVS02","Tripp Gravel Pit Rd","Bailey Lake Rd","Gravel","Public",NA,"HLVS01, TRGP02, BALY08, BALY09",2024-03-03 19:47:33.892639,2024-03-05 17:09:23.45606,"EXISTING"
"Iron River Area","Hooper Rd","HOPR01","Silbersack Rd / Lavin Rd","Cty Rd A","Gravel","Public",NA,"SLBR01, SLBR02, TRSS11, NA",2023-04-07 14:48:23.844055,2024-03-05 17:09:23.475037,"EXISTING"
"Iron River Area","Happles Lake Trail","HPLS01","Canthook Lake Rd","Happles Lake","Trail","Public",NA,"CNTH05, CNTH06, SLVR03, NA",2023-01-16 21:39:55.023205,2024-03-05 17:09:23.585972,"EXISTING"
"Iron River Area","Hughes Town Hall Rd","HUTH01","US Hwy 2","Unnamed off Hughes Town Hall Rd","Paved","Public",NA,"NA, HUTH02",2023-02-09 15:55:36.819084,2024-03-05 17:09:23.605974,"EXISTING"
"Iron River Area","Hughes Town Hall Rd","HUTH02","Unnamed off Hughes Town Hall Rd","Unnamed off Hughes Town Hall Rd","Paved","Public",NA,"HUTH01, HUTH03",2023-02-09 15:57:07.508448,2024-03-05 17:09:23.619951,"EXISTING"
"Iron River Area","Hughes Town Hall Rd","HUTH03","Unnamed off Hughes Town Hall Rd","Unnamed off Hughes Town Hall Rd","Paved","Public",NA,"HUTH02, HUTH04",2023-02-09 15:55:44.903563,2024-03-05 17:09:23.631945,"EXISTING"
"Iron River Area","Hughes Town Hall Rd","HUTH04","Unnamed off Hughes Town Hall Rd","Unnamed off Hughes Town Hall Rd","Paved","Public",NA,"HUTH03, HUTH05",2023-02-09 15:57:14.117956,2024-03-05 17:09:23.705912,"EXISTING"
"Iron River Area","Hughes Town Hall Rd","HUTH05","Unnamed off Hughes Town Hall Rd","Unnamed off Hughes Town Hall Rd","Paved","Public",NA,"HUTH04, HUTH06",2023-02-09 15:57:21.240002,2024-03-05 17:09:23.824833,"EXISTING"
"Iron River Area","Hughes Town Hall Rd","HUTH06","Unnamed off Hughes Town Hall Rd","Unnamed off Hughes Town Hall Rd","Paved","Public",NA,"HUTH05, HUTH07",2023-02-09 15:57:27.994123,2024-03-05 17:09:23.840824,"EXISTING"
"Iron River Area","Hughes Town Hall Rd","HUTH07","Unnamed off Hughes Town Hall Rd","ATV/Snow Trail 22/24 / Hughes Town Hall","Paved","Public",NA,"HUTH06, HUTH08",2023-02-09 15:57:35.314356,2024-03-05 17:09:23.863811,"EXISTING"
"Iron River Area","Hughes Town Hall Rd","HUTH08","ATV/Snow Trail 22/24 / Hughes Town Hall","Pero Rd / Gallagher Rd / Lindgren Rd","Paved","Public",NA,"HUTH07, PERO01, GLGR01, LGRN09",2023-02-09 15:55:51.995993,2024-03-05 17:09:23.8848,"EXISTING"
"Iron River Area","Hughes Town Line Rd","HUTL01","Cty Rd A","Unnamed off Hughes Town Line Rd","Gravel","Public",NA,"NA, HUTL02, TRHL15",2024-02-28 20:28:24.665735,2024-03-05 17:09:24.002733,"EXISTING"
"Iron River Area","Hughes Town Line Rd","HUTL02","Unnamed off Hughes Town Line Rd","Unnamed off Hughes Town Line Rd","Gravel","Public",NA,"HUTL01, TRHL15, HUTL03, TRHL15",2024-02-28 20:28:24.256823,2024-03-05 17:09:24.016722,"EXISTING"
"Iron River Area","Hughes Town Line Rd","HUTL03","Unnamed off Hughes Town Line Rd","Unnamed from Webster Rd to Hughes Town Line Rd","Gravel","Public",NA,"HUTL02, TRHL15, HUTL04, TRWB21",2024-02-28 20:28:24.214678,2024-03-05 17:09:24.035713,"EXISTING"
"Iron River Area","Hughes Town Line Rd","HUTL04","Unnamed from Webster Rd to Hughes Town Line Rd","N Church Rd","Gravel","Public",NA,"HUTL03, TRWB21, HUTL05, NCHU03",2024-03-04 10:01:06.383987,2024-03-05 17:09:24.05472,"EXISTING"
"Iron River Area","Hughes Town Line Rd","HUTL05","N Church Rd","Unnamed from Hughes Town Line Rd to N Church Rd","Gravel","Public",NA,"HUTL04, NCHU03, HUTL06, TRHL17",2024-03-04 10:01:17.002459,2024-03-05 17:09:24.067709,"EXISTING"
"Iron River Area","Hughes Town Line Rd","HUTL06","Unnamed from Hughes Town Line Rd to N Church Rd","Unnamed from Hughes Town Line Rd to N Church Rd","Gravel","Public",NA,"HUTL05, TRHL17, HUTL07, TRHL18",2024-03-04 10:01:27.59116,2024-03-05 17:09:24.081686,"EXISTING"
"Iron River Area","Hughes Town Line Rd","HUTL07","Unnamed from Hughes Town Line Rd to N Church Rd","Moreland Lake Rd / Moore Rd","Gravel","Public",NA,"HUTL06, TRHL18, HUTL08, MRLD13, MORE01",2024-03-04 10:01:36.369596,2024-03-05 17:09:24.208612,"EXISTING"
"Iron River Area","Hughes Town Line Rd","HUTL08","Moreland Lake Rd / Moore Rd","Huffgard Rd","Gravel","Public",NA,"HUTL07, MRLD13, MORE01, HUTL09, HGRD13, HGRD14",2024-03-04 10:01:46.770338,2024-03-05 17:09:24.230598,"EXISTING"
"Iron River Area","Hughes Town Line Rd","HUTL09","Huffgard Rd","Unnamed off Hughes Town Line Rd","Gravel","Public",NA,"HUTL08, HGRD13, HGRD14, HUTL10, TRHL11",2024-03-04 10:02:27.560114,2024-03-05 17:09:24.246592,"EXISTING"
"Iron River Area","Hughes Town Line Rd","HUTL10","Unnamed off Hughes Town Line Rd","Unnamed off Hughes Town Line Rd","Gravel","Public",NA,"HUTL09, TRHL11, HUTL11, TRHL10",2024-03-04 10:02:27.40917,2024-03-05 17:09:24.261583,"EXISTING"
"Iron River Area","Hughes Town Line Rd","HUTL11","Unnamed off Hughes Town Line Rd","Unnamed off Hughes Town Line Rd","Gravel","Public",NA,"HUTL10, TRHL10, HUTL12, TRHL05",2024-03-04 10:02:27.385252,2024-03-05 17:09:24.277575,"EXISTING"
"Iron River Area","Hughes Town Line Rd","HUTL12","Unnamed off Hughes Town Line Rd","Unnamed off Hughes Town Line Rd","Gravel","Public",NA,"HUTL11, TRHL05, HUTL13, TRHL01",2024-03-04 10:02:27.151632,2024-03-05 17:09:24.296562,"EXISTING"
"Iron River Area","Hughes Town Line Rd","HUTL13","Unnamed off Hughes Town Line Rd","County Line Rd","Gravel","Public",NA,"HUTL12, TRHL01, BDCL16, BDCL20",2024-03-04 10:02:26.820843,2024-03-05 17:09:24.47146,"EXISTING"
"Iron River Area","Inch Lake Trail North","INCN01","Cty Rd H",NA,"Trail","Public",NA,"CTYH27, CTYH28, INCN02, INCN06",2024-02-27 21:15:35.097836,2024-03-05 17:09:24.502445,"EXISTING"
"Iron River Area","Inch Lake Trail North","INCN02",NA,NA,"Trail","Public",NA,"INCN01, INCN06, INCN03, INCN06, DEAD023",2024-02-27 21:15:34.806522,2024-03-05 17:09:24.609383,"EXISTING"
"Iron River Area","Inch Lake Trail North","INCN03",NA,NA,"Trail","Public",NA,"INCN02, INCN06, DEAD023, INCN04, INCN07",2024-02-27 21:15:34.779552,2024-03-05 17:09:24.623373,"EXISTING"
"Iron River Area","Inch Lake Trail North","INCN04",NA,NA,"Trail","Public",NA,"INCN03, INCN07, INCN05, INCN08",2024-02-27 21:15:33.303215,2024-03-05 17:09:24.639364,"EXISTING"
"Iron River Area","Inch Lake Trail North","INCN05",NA,"Cty Rd H","Trail","Public",NA,"INCN04, INCN08, CTYH28, CTYH29",2024-02-27 21:15:33.277245,2024-03-05 17:09:24.653355,"EXISTING"
"Iron River Area","Inch Lake Trail North","INCN06",NA,NA,"Trail","Public",NA,"INCN01, INCN02, INCN02, INCN03, DEAD023",2024-02-27 21:15:32.568655,2024-03-05 17:09:24.66535,"EXISTING"
"Iron River Area","Inch Lake Trail North","INCN07",NA,NA,"Trail","Public",NA,"INCN03, INCN04, NA",2024-02-27 21:15:31.241188,2024-03-05 17:09:24.679344,"EXISTING"
"Iron River Area","Inch Lake Trail North","INCN08",NA,NA,"Trail","Public",NA,"INCN04, INCN05, NA",2024-02-27 21:15:44.219152,2024-03-05 17:09:24.691334,"EXISTING"
"Iron River Area","Inch Lake Trail South","INCS01","Scenic Dr",NA,"Trail","Public",NA,"SCNC02, SCNC03, INCS02, INCS03",2023-01-16 21:39:55.036207,2024-03-05 17:09:24.704327,"EXISTING"
"Iron River Area","Inch Lake Trail South","INCS02",NA,"Inch Lake [South point]","Trail","Public",NA,"INCS01, INCS03, NA",2023-01-16 21:39:55.037207,2024-03-05 17:09:24.831255,"EXISTING"
"Iron River Area","Inch Lake Trail South","INCS03",NA,NA,"Trail","Public",NA,"INCS01, INCS02, INCS04, INCS06",2023-01-16 21:39:55.038206,2024-03-05 17:09:24.843246,"EXISTING"
"Iron River Area","Inch Lake Trail South","INCS04",NA,NA,"Trail","Public",NA,"INCS03, INCS06, INCS05",2023-01-16 21:39:55.040199,2024-03-05 17:09:24.859238,"EXISTING"
"Iron River Area","Inch Lake Trail South","INCS05",NA,"Hildur Lake [West shore)","Trail","Public",NA,"INCS04, NA",2023-01-16 21:39:55.041204,2024-03-05 17:09:24.877228,"EXISTING"
"Iron River Area","Inch Lake Trail South","INCS06",NA,NA,"Trail","Public",NA,"INCS03, INCS04, INCS07, INCS10",2023-01-16 21:39:55.042194,2024-03-05 17:09:24.901213,"EXISTING"
"Iron River Area","Inch Lake Trail South","INCS07",NA,NA,"Trail","Public",NA,"INCS06, INCS10, INCS08, INCS09",2023-01-16 21:39:55.044191,2024-03-05 17:09:25.038239,"EXISTING"
"Iron River Area","Inch Lake Trail South","INCS08",NA,"end of North Point trail","Trail","Public",NA,"INCS07, INCS09, NA",2023-01-16 21:39:55.045191,2024-03-05 17:09:25.052216,"EXISTING"
"Iron River Area","Inch Lake Trail South","INCS09",NA,"Scenic Dr","Trail","Public",NA,"INCS07, INCS08, NA",2023-01-16 21:39:55.046194,2024-03-05 17:09:25.064207,"EXISTING"
"Iron River Area","Inch Lake Trail South","INCS10",NA,"Cty Rd H","Trail","Public",NA,"INCS06, INCS07, CTYH28, CTYH29, INCN05",2023-01-16 21:39:55.04719,2024-03-05 17:09:25.075203,"EXISTING"
"Iron River Area","Inch Lake Trail South","INCS20","Scenic Dr","Private property (unmarked)","Trail","Public",NA,"SCNC04, SCNC05, NA",2023-09-11 16:48:13.969408,2024-03-05 17:09:25.098188,"EXISTING"
"Iron River Area","Iron Lake Lane","IRLL01","Lake Ahmeek Rd","Private driveway","Paved","Public",NA,"AHMK08, AHMK09, NA",2023-01-16 21:39:55.048204,2024-03-05 17:09:25.113182,"EXISTING"
"Iron River Area","Iron Lake Rd","IRNL01","Janes Lake Rd","Unnamed from Iron Lake Rd to Orlowski Rd","Paved","Public",NA,"JNSL03, JNSL04, IRNL02, TRIL06",2023-01-16 21:39:55.049204,2024-03-05 17:09:25.222174,"EXISTING"
"Iron River Area","Iron Lake Rd","IRNL02","Unnamed from Iron Lake Rd to Orlowski Rd","Unnamed from Iron Lake Rd to Orlowski Rd","Paved","Public",NA,"IRNL01, TRIL06, IRNL03, TRIL05",2023-11-09 14:35:15.476828,2024-03-05 17:09:25.25514,"EXISTING"
"Iron River Area","Iron Lake Rd","IRNL03","Unnamed from Iron Lake Rd to Orlowski Rd","Chantelois Rd","Paved","Public",NA,"IRNL02, TRIL05, IRNL04, CHNT01",2024-03-04 08:53:59.305292,2024-03-05 17:09:25.268116,"EXISTING"
"Iron River Area","Iron Lake Rd","IRNL04","Chantelois Rd","Mieritz Rd","Paved","Public",NA,"IRNL03, CHNT01, IRNL05, MRTZ01",2024-03-04 08:53:59.283308,2024-03-05 17:09:25.281094,"EXISTING"
"Iron River Area","Iron Lake Rd","IRNL05","Mieritz Rd","East Deep Lake Rd","Paved","Public",NA,"IRNL04, MRTZ01, IRNL06, DPLE07",2024-03-04 08:53:58.616638,2024-03-05 17:09:25.294088,"EXISTING"
"Iron River Area","Iron Lake Rd","IRNL06","East Deep Lake Rd","Top of the Morn Campground","Paved","Public",NA,"IRNL05, DPLE07, IRNL07, TOTM01",2024-03-04 08:53:58.590683,2024-03-05 17:09:25.313076,"EXISTING"
"Iron River Area","Iron Lake Rd","IRNL07","Top of the Morn Campground","Unnamed off Iron Lake Rd","Paved","Public",NA,"IRNL06, TOTM01, IRNL08, TRIL01",2024-03-04 08:53:57.801142,2024-03-05 17:09:25.457994,"EXISTING"
"Iron River Area","Iron Lake Rd","IRNL08","Unnamed off Iron Lake Rd","Cty Rd A","Paved","Public",NA,"IRNL07, TRIL01, NA",2024-03-04 08:53:57.128819,2024-03-05 17:09:25.488974,"EXISTING"
"Iron River Area","Island Blvd","ISLB01","E Long Lake Rd","Long Lake boat landing","Paved","Public",NA,"LNGE07, LNGE08, ISLB02",2023-01-16 21:39:55.058186,2024-03-05 17:09:25.501966,"EXISTING"
"Iron River Area","Island Blvd","ISLB02","Long Lake boat landing",NA,"Paved","Public",NA,"ISLB01, NA",2023-01-16 21:39:55.059193,2024-03-05 17:09:25.520956,"EXISTING"
"Iron River Area","Janns Rd (FR392)","JANN01","Beck Rd","FR398","Gravel","Public",NA,"BECK08, JANN02, FR39803",2023-01-16 21:39:55.060186,2024-03-05 17:09:25.625906,"EXISTING"
"Iron River Area","Janns Rd (FR392)","JANN02","FR398","FR230","Gravel","Public",NA,"JANN01, FR39803, JANN03, FR23001",2023-01-16 21:39:55.061844,2024-03-05 17:09:25.637903,"EXISTING"
"Iron River Area","Janns Rd (FR392)","JANN03","FR230","FR393","Gravel","Public",NA,"JANN02, FR23001, JANN04, FR39302",2023-01-16 21:39:55.06385,2024-03-05 17:09:25.658886,"EXISTING"
"Iron River Area","Janns Rd (FR392)","JANN04","FR393","N Delta Rd","Gravel","Public",NA,"JANN03, FR39302, RYND01, NDLT04, NDLT05",2023-01-16 21:39:55.064846,2024-03-05 17:09:25.672899,"EXISTING"
"Iron River Area","Jackman Lake Rd","JKMN01","US Hwy 2","ATV/Snow Trail Tri-County Corridor","Gravel","Public",NA,"NA, JKMN02",2023-01-16 21:39:55.065857,2024-03-05 17:09:25.688869,"EXISTING"
"Iron River Area","Jackman Lake Rd","JKMN02","ATV/Snow Trail Tri-County Corridor","ATV/Snow Trail 3/31","Gravel","Public",NA,"JKMN01, JKMN03",2023-01-16 21:39:55.066856,2024-03-05 17:09:25.700865,"EXISTING"
"Iron River Area","Jackman Lake Rd","JKMN03","ATV/Snow Trail 3/31","Unnamed off Jackman Lake Rd","Gravel","Public",NA,"JKMN02, JKMN04, TRJM01",2023-05-22 08:41:45.209831,2024-03-05 17:09:25.715858,"EXISTING"
"Iron River Area","Jackman Lake Rd","JKMN04","Unnamed off Jackman Lake Rd","Unnamed from Jackman Lake Rd to W Long Lake Rd","Gravel","Public",NA,"JKMN03, TRJM01, JKMN05, TRJM05",2023-05-22 08:42:39.323908,2024-03-05 17:09:25.72986,"EXISTING"
"Iron River Area","Jackman Lake Rd","JKMN05","Unnamed from Jackman Lake Rd to W Long Lake Rd","Unnamed off Jackman Lake Rd","Gravel","Public",NA,"JKMN04, TRJM05, JKMN06, TRJM30",2024-02-29 10:43:55.425737,2024-03-05 17:09:25.873764,"EXISTING"
"Iron River Area","Jackman Lake Rd","JKMN06","Unnamed off Jackman Lake Rd","ATV/Snow Trail 3/31","Gravel","Public",NA,"JKMN05, TRJM30, JKMN07",2024-02-29 10:45:18.478317,2024-03-05 17:09:25.903746,"EXISTING"
"Iron River Area","Jackman Lake Rd","JKMN07","ATV/Snow Trail 3/31","Spring Rd","Gravel","Public",NA,"JKMN06, JKMN08, SPRG01",2024-02-29 10:44:04.310949,2024-03-05 17:09:25.91674,"EXISTING"
"Iron River Area","Jackman Lake Rd","JKMN08","Spring Rd","S Jackman Lake Rd","Gravel","Public",NA,"JKMN07, SPRG01, JKMN09, JKMNS01",2024-02-29 10:44:12.389099,2024-03-05 17:09:25.930731,"EXISTING"
"Iron River Area","Jackman Lake Rd","JKMN09","S Jackman Lake Rd","Jackman Lake Picnic Area [South]","Gravel","Public",NA,"JKMN08, JKMNS01, JKMN10, JKMN12",2024-02-29 10:45:00.772394,2024-03-05 17:09:26.033686,"EXISTING"
"Iron River Area","Jackman Lake Rd","JKMN10","Jackman Lake Picnic Area [South]","Jackman Lake Picnic Area [North]","Gravel","Public",NA,"JKMN09, JKMN12, JKMN11, JKMN12",2024-02-29 10:45:00.740631,2024-03-05 17:09:26.045666,"EXISTING"
"Iron River Area","Jackman Lake Rd","JKMN11","Jackman Lake Picnic Area [North]","Battle Axe Rd","Gravel","Public",NA,"JKMN10, JKMN12, BTLX02, BTLX03",2024-02-29 10:45:00.54357,2024-03-05 17:09:26.059656,"EXISTING"
"Iron River Area","Jackman Lake Picnic Area","JKMN12","Jackman Lake Rd [South]","Jackman Lake Rd [North]","Gravel","Public",NA,"JKMN09, JKMN10, JKMN10, JKMN11",2024-02-29 10:45:08.662725,2024-03-05 17:09:26.07165,"EXISTING"
"Iron River Area","Jackman Lake Landing Rd","JKMNL01","Battle Axe Rd","Jackman Lake landing","Paved","Public",NA,"BTLX01, BTLX02, NA",2023-02-05 14:07:04.292061,2024-03-05 17:09:26.082644,"EXISTING"
"Iron River Area","S Jackman Lake Rd","JKMNS01","Fire Lake Rd","Jackman Lake Rd","Paved","Public",NA,"FRLK05, FRLK06, JKMN08, JKMN08",2023-02-05 14:06:50.47966,2024-03-05 17:09:26.094635,"EXISTING"
"Iron River Area","Jones Lake Rd","JNSL01","E Crystal Lake Rd / S Crystal Lake Rd","ATV/Snow Trail 22/24","Paved","Public",NA,"CRLE03, CRLS01, NA",2023-01-16 21:39:55.073702,2024-03-05 17:09:26.106628,"EXISTING"
"Iron River Area","Jones Lake Rd","JNSL02","ATV/Snow Trail 22/24","Orlowski Rd","Paved","Public",NA,"NA, JNSL03, ORLW07",2023-01-16 21:39:55.075703,2024-03-05 17:09:26.122622,"EXISTING"
"Iron River Area","Jones Lake Rd","JNSL03","Orlowski Rd","Iron Lake Rd","Paved","Public",NA,"JNSL02, ORLW07, JNSL04, IRNL01",2023-01-16 21:39:55.076719,2024-03-05 17:09:26.135612,"EXISTING"
"Iron River Area","Jones Lake Rd","JNSL04","Iron Lake Rd","W Mieritz Rd","Paved","Public",NA,"JNSL03, IRNL01, JNSL05, MRTZW01",2023-01-16 21:39:55.077711,2024-03-05 17:09:26.280529,"EXISTING"
"Iron River Area","Jones Lake Rd","JNSL05","W Mieritz Rd","Unnamed off Jones Lake Rd","Paved","Public",NA,"JNSL04, MRTZW01, TRJL01",2023-01-16 21:39:55.078712,2024-03-05 17:09:26.295521,"EXISTING"
"Iron River Area","Jones Lake Rd","JNSL06","Unnamed off Jones Lake Rd","Unnamed off Jones Lake Rd","Paved","Public",NA,"TRJL01, TRJL01",2023-01-16 21:39:55.079712,2024-03-05 17:09:26.307514,"EXISTING"
