"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3122",NA,"ATV/Snow Trail 24","ATV","Public",NA,"ATV3121, TRTHA02, ATV3123, ATV2491",2024-02-26 16:00:35.882292,2024-03-05 17:08:46.45109,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3123","ATV/Snow Trail 24","Ruth Lake Rd","ATV","Public",NA,"ATV3122, ATV2491, ATV3124, RUTH02, RUTH03",2024-02-26 16:00:35.914255,2024-03-05 17:08:46.472076,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3124","Ruth Lake Rd","Camp Two Lake trails [North]","ATV","Public",NA,"RUTH02, RUTH03, ATV3125, CMP220",2024-02-26 16:00:35.945257,2024-03-05 17:08:46.48807,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3125","Camp Two Lake trails [North]",NA,"ATV","Public",NA,"ATV3124, CMP220, ATV3126, ATV3127",2024-02-26 16:00:35.976219,2024-03-05 17:08:46.615993,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3126","Ruth Lake Rd",NA,"ATV","Public",NA,"RUTH01, RUTH02, ATV3125, ATV3127",2024-02-26 16:00:36.006203,2024-03-05 17:08:46.626989,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3127",NA,NA,"ATV","Public",NA,"ATV3125, ATV3126, ATV3127, ERTH03, TRBKC01",2024-02-26 16:00:36.037186,2024-03-05 17:08:46.642994,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3128",NA,NA,"ATV","Public",NA,"ATV3127, ERTH03, TRBKC01, ATV3129, TRBKC01",2024-02-26 16:00:36.073164,2024-03-05 17:08:46.660969,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3129",NA,NA,"ATV","Public",NA,"ATV3128, TRBKC01, ATV3130, SEAR05",2024-02-26 16:00:36.104162,2024-03-05 17:08:46.678959,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3130",NA,NA,"ATV","Public",NA,"SEAR05, ATV3129, ATV3131, SEAR04, CMP201",2024-02-26 16:00:36.135143,2024-03-05 17:08:46.747919,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3131",NA,NA,"ATV","Public",NA,"ATV3130, SEAR04, CMP201, ATV3132, NCTBF021, NCTBF022",2024-02-26 16:00:36.16511,2024-03-05 17:08:46.870846,"EXISTING"
